Entrada,Medicion,Data
6,37208,1930
7,36237,2648
8,47667,3544
9,69124,5539
10,102227,11321
11,90095,5430
12,133758,39293
13,182872,54339
14,233350,42063
15,243577,27409
16,192728,38256
17,287251,24521
18,355066,47665
19,334154,44602
20,465235,47828
70,592389,120725
120,8746930,2298974
170,41800640,18337778
220,116058019,51703711
270,266456660,136411987
320,479212529,250639064
370,798579490,360126725
420,1193682256,563191532
470,1833289920,881712759
